title;rating;snippet;likes;date
HABASSI Amal;3.0;Very slow, it will take weeks sometimes to get your order, but it looks good to buy a lot of stuff at mini prices. I have so far received everything I have purchased in good condition. I don't know why I have to pay for the shipment of each piece alone, why not collect all my purchases with one shipper and then pay for once. I think you must put some kind of basket in corner to collect all, especially that they have no advantage to pay delivery drivers as they do not belong, it is Aramex ..;43;May 25, 2022
Saoussen Jebril;1.0;I have never been able to even reach the level of ordering anything. The app always freezes even if you are simply adding some items to your favorite list. I cannot stay more than one minute on it before it crushes. Instead of paying the tons of money on the adds that I see everywhere, may be you should consider improving your app.;28;August 25, 2022
Latifa Ben Amara;1.0;I used to like this app, and it was great for the first couple of months but what's really annoying is that some buyers are not serious at all! I prepare my order and give it out to delivery, it arrives to its destination and suddenly the order gets canceled because the buyer changed his/her opinion and doesn't want to buy anymore!! Or even more shocking they receive the order, proceed to damage it in the 1st 24h and then put out a complaint about the product! I suggest you find a solution ASAP;41;March 12, 2021
A Google user;1.0;A poor application, it requires a Facebook account to sign up owith any other options. Apparently there is an implicit data collection and analysis of registered people and users! Why can't you register with your email like any other app ?! Worse more, there is no clear data protection policy (at least before account creation).;25;December 16, 2019
Hend Laadhari;2.0;The app crashes every minute, it's annoying. The customer service is not always responsive and even if they do respond, the answer is vague. They also take more than 24h to release the money after the delivery even if it's not a weekend. Sometimes, the delivery takes 10 days, mostly 7 days at least.;12;June 06, 2021
Amal Mrissa;1.0;I had two buyers cancel their orders with no prior notice. They sent the order back upon a change of heart and the package returned to me untouched. Paradoxically, it's my own account that got suspended, not theirs. I can't even access my account anymore. I do not recommend using this app.;17;May 01, 2022
Farah;3.0;Great app, but the costumer service is not that great, some deliveries last a very long time and some don't even get to the buyer, mine haven't got to the buyer and it's been more than a week, the money transfer sometimes doesn't go through accordingly. I suggest you reinforce the costumer service at your company.I support this concept and whoever is behind it but please make sure your services and performances work accordingly.;4;February 09, 2021
Chayma Djaziri;2.0;So I made an order on a handbag that I absolutely loved, waited for the delivery guy two whole evenings. he didn't show up. Called him back about a 100 times always getting to aramex customer service who were no help at all. Told my mom to wait for him on another occasion, got fed up. Found out my order was canceled and now when I try to log in I get user disabled error. I know it's not your fault and you're only trying to filter unserious buyers but you need to check with your users first.;7;December 11, 2021
Maroua Marouani;1.0;The worst experience with an app in my entire life!!!!!!! Each time I need to re insert all my info like seriously?????? I had couple of things to buy then I come across the tech issue or whatever and change my mind;10;January 29, 2022
nour karoui;5.0;Besides the amazing concept and idea, they have an amazing customer service, they would take care of your order until you are satisfied. This is, by far, the best experience I've had with online shopping in Tunisia. I highly recommend it.;9;August 10, 2020
Rahma Barhoumi;1.0;Very slow and keeps crashing everytime i click on anything. Impossible to use. I do not recommend this app.;8;April 16, 2022
A Google user;4.0;Why do i need to log in only with a facebook account? Mine is deactivated for a while. This is not good. But for the website is quite good and user friendly. I didn't make any transactions until now so i can't rate that but im going to give u 4 stars for the concept;1;March 01, 2020
A Google user;1.0;I really wanted to create an account, well cause I still really find this app useful but depending on Facebook only to create an account is not the best idea like it's 2019 so many people don't use it anymore;11;September 10, 2019
Mer Yam;1.0;Very slow app ! Plus they banned me just for cancelling the item I am buying even though i was respectful and didn't scam anyone . The service and the process of selling was so slow and I am the one who called them for confirmation . They should be okay with people changing their mind since I found a better price . At least they can call me to inform me that I am being banned .;0;January 18, 2023
Honey Peachyy;2.0;The service is amazing but the problem is the order take so much time to reach out this very slowly hope you fix this prob;0;July 02, 2024
A Google user;3.0;the app is slow and the upload option is so bad it keeps reducing the image quality.;6;September 25, 2019
Yosr chebbi (Rosy);1.0;The delivery is soo bad , I've been waiting for the delivery guy for two weeks now , then they suddenly cancelled the order without contacting me or anything;8;February 20, 2022
A Google user;2.0;why do you require sign-up via Facebook? i just want to check the articles and that shouldn't require an account. at least add sign-up via Google;9;December 26, 2018
safa cheikhrouhou;1.0;Strange restrictions !! My account has been closed without informing me, and I can't even create a new account.;2;February 28, 2022
Dorra Gharbi;1.0;Very slow. It take a lot of time to access, almost it's bugging.;5;June 20, 2022
A Google user;1.0;Unfortunately sign facebook crashes and still blocked in the quick guide application.;2;February 19, 2020
A Google user;3.0;Great service idea. Only applied rate is too high.;1;February 01, 2020
ana HANN;1.0;It. Just. Keeps. Crashing. I cannot do anything for more than 2 minutes aman c'est nul kifeh laabed arrive à acheter ay haja manish fehma;0;October 27, 2022
Soha Fathy;1.0;So what is your role?!!! if you don't making sure that the offered items in same mentioned condition as the description, now you are part of a scam. Your policy is unfair. If you have none paid back and return policy for the under-wears, so you should guarantee that the offered items are the same as the description. YOU ARE SCAM;3;May 20, 2021
kaftaji kun;1.0;no male option, clothes for women and kids only, honestly disappointed.;11;October 29, 2020
tang tango;2.0;All I see is female stuff. The description is literally saying buy and sell clothes from home... The filter only allows you to see female's or kid's clothes 🤔;0;February 28, 2023
Aziz Sghayer;1.0;Not male friendly lol. Weirdly this app seems to be targeted at females only.;2;April 20, 2022
Zaineb Daoud;5.0;Easy to use and a great customer service.;1;July 22, 2024
Hedi Fkih;4.0;Just missing a male version , besides , it's great;0;September 04, 2024
sed noss;1.0;I don't know why , but they banned my dabchy account!! That's really weird!! Well, i think that i did not understand their rules !!! But the admin facebook page told me that i can text them on Gmail .. but they don't answer me;0;January 14, 2023
Khaoula Athimni;1.0;Had a very bad experience with you. I sold a dress and kept waiting for the transporter for weeks until the client got fed up and cancelled the purchase. When I called you all you had to tell me was the transporter refuses to come to your city!! Is that even an excuse?? Transporters come daily to bring me my orders how come only with Dabchy things don't work??;13;July 07, 2021
Nmiramar;4.0;good trustable platform , some great deals ❤️;2;January 06, 2023
A Google user;5.0;Great design, simple to use!;12;January 14, 2019
xavier lol;1.0;i cant even log in with my fb acc it's so annoying;0;October 01, 2023
Haroun K'h;2.0;It seems a good app but! Where's the mens fashion? just for women girls and boys;3;February 05, 2022
kook min;1.0;I don't know but why I can make a account in this app evere time I try to make a account I Can't what is the problem with this app?;1;April 05, 2022
A Google user;1.0;freeze at loading missing permission request for android m et +;6;January 09, 2019
Kanzari Intissar;1.0;very slow, alot of bugging;0;July 19, 2022
Soha Elmary;1.0;If you have such none refundable policy So you have to make sure that the vendor not scammers and items conditions as it mentioned in the description;4;May 20, 2021
Haifa El Zidi;1.0;Your app sucks  so slow even when i try to login;1;June 12, 2022
Lorenzo Michael;5.0;I see a difference in the new update so well done guys and keep it up ;0;May 09, 2022
Amani Rekik;1.0;Very bad and slow services ;0;April 17, 2024
A Google user;2.0;i don't have Facebook ! there should be more ways to log in like by email or phone number !;6;July 02, 2019
A Google user;1.0;if I don't have a Facebook account I can't use this app???;7;January 07, 2019
lilia samaali;5.0;Interesting app very effective;1;July 18, 2022
A Google user;3.0;You should consider more than Facebook registration for signing-up!!;2;April 03, 2020
Siwar Al Welhazi;1.0;There is always errors;3;February 07, 2022
Yakin Guedri;5.0;Easy and good app to use;3;July 11, 2024
Rania Barkaoui;1.0;You guys are very slow it took me weeks to sell something and get my money;1;January 09, 2023
Shayma Mahdewi;1.0;In general the app it's not bad... But some buyer are not serious;1;September 04, 2023
A Google user;5.0;I like it its an amazing app;0;August 21, 2019
bouhjar saadia;5.0;Amazing app keep going ;0;April 19, 2021
A Google user;1.0;useless and managed by incompetent people;6;June 20, 2019
Omar Trabelsi;1.0;no male option , weird!!!!!!!;2;February 06, 2021
houda ben hamouda;1.0;The App is extremely slow, annoying even to open an article and crashes multiple times;0;February 01, 2023
ElGi01;1.0;the app crashes every 2 minutes Too many bugs;1;July 10, 2022
wissal krimi;5.0;Im giving 5 stars for the sweet morning msg they r sending;0;June 11, 2021
Amal Ghderi;1.0;It doesn't work why?!;1;April 09, 2022
Tway Tn;5.0;Love your application so much;0;May 24, 2020
Achraf Aouadi;5.0;Best of luck dears;0;May 28, 2020
A Google user;5.0;I adore this application;1;February 05, 2019
Ahmed Jribi;1.0;Only female stuff. trash app;0;April 11, 2023
A Google user;1.0;We are in 2022! Still no men category!?;3;February 19, 2022
ben ayssa salma;1.0;soooo baddd app;2;February 21, 2022
salma BEN;2.0;i lost my account;3;November 29, 2020
tayeb ouni;2.0;is it only for females?;2;February 01, 2022
Mariem At;5.0;Can i use the e-dinar jeune?;0;August 29, 2020
Emna Hamraoui;1.0;Rate so big 20 percent;1;April 17, 2022
mariam naili;5.0; excellent service thank you for your profesionalism;0;November 22, 2024
selmi maryem;1.0;Bad experience ;0;June 10, 2024
Badra Dabbabi;1.0;So bad;0;June 08, 2024
Intissar Arari;5.0;;0;August 21, 2024
Maram Hidri;5.0;so.nice;0;May 31, 2024
sonia tucal;1.0; there's a problem when trying to download images or writing a description, the application crashes suddently, I want to solve this. thank you;0;November 04, 2023
Startup Ideas;5.0;;0;November 23, 2023
Sinda beizig;1.0;not serious;0;September 04, 2023
CHIFAA MLIHI;5.0;Ok;0;January 03, 2024
Devil Wifeu;5.0;Good app ,just a remark.. When we boost an article we would like to pay by credit card because sadly not everyone phone provider is orange.;0;February 10, 2023
Azza Ben Boubaker;1.0;"There's not worse than this ""application""";0;June 19, 2023
Imenn Jlassi;1.0;Why did you desactivate my account I have an ongoing order! I sent multiple mails, no response and I even sent messages to fb and instagram!?!????????????!;0;December 30, 2022
Ghofrane Anouar;1.0;they desactivated my account without any reason;0;October 10, 2022
Wejdene Sahlaoui;2.0;the procedure is so slow;0;October 24, 2022
Dlala Ahmed;1.0;Awful app;0;November 02, 2022
Amal Azhari;5.0;thank youuu very pretty;0;September 22, 2022
Amel Menjour;1.0;a lot of products are in a  bad state  while neither the price nor the description are accurate. A lot of photos are taken from magazines and real photos are not clear;0;August 31, 2022
sourour haggui;3.0;very slow app;0;August 13, 2022
Sana' BenAliTaga;4.0;great app with great opportunies! Although, the delivery takes some time;0;September 06, 2022
Nour Missaoui;1.0;a lot of crash;0;July 15, 2022
it's Tak;5.0; ;0;August 23, 2022
rihab ben taher;5.0;keep going;0;July 13, 2022
rania hamdi;1.0;is it normal that the app crashes several times;0;May 29, 2022
Khaoula torkya;4.0;good;0;May 28, 2022
Abdou Manai;1.0;why are there no men categories??? There are only women and kids;2;March 22, 2022
HOUDA BESSROUR;5.0;Adorable App;0;February 24, 2022
Dorra Ben Hassen;5.0;The best;0;July 08, 2021
Fahd Bannouri;5.0;excellent experience;0;September 01, 2021
Rabiعa Ben Khedher;5.0;Good app;0;March 24, 2021
noor 111;1.0;Really disappointed firstly there's a lot of items that I sold that I didn't get paid for they take the product and aramex loses it and they they tell you it's not our fault it's the delivery guy's fault. the app used to be good (2 years back) but now they don't even know how to act!;2;December 27, 2020
Hakim Mkacher;3.0;does it work with a current postal bank account?;0;December 17, 2020
sarah Jaballah;5.0;Good;0;November 09, 2020
Yacine Brini;1.0;I can't sign up because I don't have facebook;1;June 09, 2020
lina vinci;1.0;scammers;2;September 07, 2020
thekittiedoll1;5.0;The new update is amazing;0;May 21, 2020
Stephy Mephy;1.0;the new update is bad and the app is slow and full of bugs;3;May 20, 2020
touka salhi;5.0;amazing app;0;May 21, 2020
Maissa Saidi;1.0;very bad experience with Dabchy! Really disappointed ;1;June 28, 2021
A Google user;1.0;I had an account before and I could open the app..but here upon opening it I can't do anything and I have a blank white page;1;October 03, 2019
A Google user;1.0;There's a problem that allows me neither to sign in nor sell. Fix the problem please;2;May 20, 2019
A Google user;2.0;I like this app and the concept, but I am disappointed because Dabchy is only destined for kids and women;1;February 04, 2019
A Google user;5.0;exellent :);1;December 22, 2018
A Google user;4.0;Hey I like the app, but Problem is it doesn't want to open from the app it always takes me to chrome and it opens from there through Facebook!! Help please;2;March 28, 2018
A Google user;4.0;The prices are a bit high but sometimes there are great deals also the app takes 10% of the items you're selling and it sucks ,not bad tho for a tunisian online thrift shop ;0;March 23, 2018
A Google user;2.0;I just installed the app fulfilled everything required and I tapped 'je vend' but didn't get any notification if my product has already been published or nothing has been shown to so plz tell me if something is wrong or something is missing thx;2;February 03, 2018
A Google user;1.0;I don't have a FB account! How come there are no other options to register?;8;August 23, 2017
A Google user;5.0;Excellent product with a community inspired market place.;3;July 04, 2017
Mohamed Ayed;1.0;can't sign in for no reason!!!!!!!!!!;0;July 13, 2024
Hajer Manai;2.0;bad application. Full of technical problems. ;1;May 01, 2022
kim hari;1.0; ;0;September 05, 2024
chaymaa louati;1.0;One of the worst platforms you can sell in.they control you in every aspect, you can't talk to clients and not even eplain to them in the comments the worst experience is this app;2;December 08, 2021
Sara Talbi;2.0;  ;0;May 07, 2021
Yosra Troudi;1.0;bad Application,mediocre quality of service,I have a reclamation pending for two months !!!! And everytime I have the same answer and no useful information at all :( I don't recommend at all!!!!;0;June 01, 2022
박진리 Youssef;4.0;"the idea is amazing but you have to add a ""men"" category";0;May 07, 2024
A Google user;1.0;How come I cannot sign up without Facebook ?..;2;February 23, 2018
Fsfsga Jajss;5.0;perfect;0;February 24, 2024
Feryail Iss;1.0;bad service et application;0;June 09, 2023
Hayfa Sassi;1.0;bad, liers;2;September 22, 2020
Aya Rhila;1.0;A bad application;0;April 30, 2024
Prof Manel.J;1.0;they are spammers;1;April 11, 2021
Mariem;1.0;bad experience;0;December 27, 2023
new hyba;1.0;very bad experience;0;May 16, 2024
Balkis Chachia;1.0;horrible !!!!!!;0;November 05, 2024
houda bessrour;5.0;amazing;0;September 25, 2024
